Title,Url,Category,Views,Activity,Replies,Content,
Controlling the Trident,https://forum.openrov.com/t/controlling-the-trident/4983,OpenROV Product Support,572,Nov '16,1,Controlling the Trident - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,kf4hr3,I have a Trident on preorder.  I understand an App will allow control.  Iâ€™m curious how (or if) a physical joystick can be integrated into the App controls?  Also curious what the estimated wireless range will be?
,,,,,,badevguru,"The control system works with gamepads and joysticks that are compatible with the gamepad API available in the browser.  If you already have a joystick, you can test it by seeing if it responds as you would expect on <a href=""http://html5gamepad.com"">http://html5gamepad.com</a>.I have to defer to <a class=""mention"" href=""/u/support"">@Support</a> to validate the target range for the wi-fi connection."
Using a Humminbird Side Scan Sonar not to the bottom but to ahead of the ROV,https://forum.openrov.com/t/using-a-humminbird-side-scan-sonar-not-to-the-bottom-but-to-ahead-of-the-rov/4984,Add-ons / Accessories,931,Nov '16,1,Using a Humminbird Side Scan Sonar not to the bottom but to ahead of the ROV - Add-ons / Accessories - OpenROV Forums,
,,,,,,,
,,,,,,Blanchet_DRSM_Cie,"Hello everybody, November 13st, 2016Iâ€™d like to install the transducer not to have a look to the bottom as a â€œnormalâ€ configuration but to have a look ahead of the ROV.<br>
In fact install the transducer verticaly as a Gopro camera.It should be nice to go back or to or get a target ; mainly when the water is turbid and when the visibility is less than two meters.The best could be to use a waterproof Fisher connector with the â€œnormal two wiresâ€ plus the wires comming from the Huminbird transducer.So, is anybody has still done that ?Thank youHervÃ© Blanchet  <a href=""mailto:drsmparis@aol.com"">drsmparis@aol.com</a>"
,,,,,,TCIII,"<a class=""mention"" href=""/u/blanchet_drsm_cie"">@Blanchet_DRSM_Cie</a>,You might try looking at these discussion threads:<a href=""https://forum.openrov.com/t/side-scan-sonar/2354"">Side Scan Sonar</a><a href=""https://forum.openrov.com/t/rov-for-search-and-recovery/3294"">ROV for Search and Recovery</a><a href=""https://forum.openrov.com/t/garmin-panoptix-affordable-rov-mounted-multi-beam-sonar/3207/2"">Garmin Panoptix</a>Regards,<br>
TCIII AVD"
V2.6 - End caps for E-tube,https://forum.openrov.com/t/v2-6-end-caps-for-e-tube/4940,OpenROV 2.5 - 2.8,497,Nov '16,0,V2.6 - End caps for E-tube - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Tom_Vidar_Salangli,"HiOpenROV doesnâ€™t have any spare E-tube end caps for sale.<br>
Since I have got damages to my DB-25 harness<br>
<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/b/b4de102790a16e4e38974fdcb102aa4893a5f978.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/b4de102790a16e4e38974fdcb102aa4893a5f978"" title=""20161023_182655.jpg"" rel=""nofollow noopener""><img  width=""690"" height=""388""><div class=""meta"">
<span class=""filename"">20161023_182655.jpg</span><span class=""informations"">3264x1836 1020 KB</span><span class=""expand""></span>
</div></a></div><br>
I need to rebuild thisâ€¦Any ideas?"
HOW TO recompile the Linux system,https://forum.openrov.com/t/how-to-recompile-the-linux-system/4962,OpenROV Product Support,550,Nov '16,1,HOW TO recompile the Linux system - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,sales4,"Dear ï¼Œ<br>
We are trying to adapt OpenROV 2.8 to certain self-defined experiment purposes in our university.<br>
For example, we know how to send data from our selfdefined board to the Beaglebone black. But how should we allow Beaglebone black to pass this external control data compatible to the control board in ROV for controlling the motors.For this reason, we hope to understand the controling data structure between the control board and beaglebone black board (e.g., which part is for controling motors), furthermore we also wish to recompile the Linux system (e.g., to rearrange the usage of P8 pins).Therefore we look forwards to your guidance and helps as follows (or where we may find these).<br>
1ï¼ŒCross-compilation toolchain suitable for the BeagleBone Black in the<br>
openrov project and the Linux operating system versions / required software packages / installation guiadance and so on.2, All the source code of the linux operating system with the same version in current openrov and related applications, and its<br>
compiler environment of the BeagleBone Black which run in the openrov project.During our testing, it costs our great efforts to built the cross-compilation toolchain without an expected outputs. Therefore we are looking forward to your guidance.<br>
We highly appreciate your  helps."
,,,,,,Brian_Grau,"Here are the answers to your question to the best of my ability. If anyone else wants to chime in, please do.We do not have a cross-compilation toolchain. We build the images on actual hardware.The image build process is a fork of Robert Nelsonâ€™s BeagleBone image build process. You can find it at the following link.omap-image-builder - omap image builderI hope this helps you."
,,,,,,I MADE OPENROV in the last two yearsã€‚æ¬¢è¿Žä¸­æ–‡äº¤æµ - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,ShineFromCN,"YESï¼ŒI MADE some ï¼Œand modified<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/a/a41bea06b8c3716e837c2f3045841ffe5a44bbff.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/a41bea06b8c3716e837c2f3045841ffe5a44bbff"" title=""141213071105598029.jpg"" rel=""nofollow noopener""><img  width=""666"" height=""500""><div class=""meta"">
<span class=""filename"">141213071105598029.jpg</span><span class=""informations"">1280x960 87.7 KB</span><span class=""expand""></span>
</div></a></div>Third  ç¬¬ä¸‰æ¬¡æˆ‘å»ºäº†ä¸ªQQç¾¤ æ°´ä¸‹æœºå™¨äººå¤§æœ¬è¥ 297539273"
,,,,,,ShineFromCN,"<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/0/0e1f2dae14e671c55e003be9cad56ee7de66f2ea.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/0e1f2dae14e671c55e003be9cad56ee7de66f2ea"" title=""IMG_20150421_182225.jpg"" rel=""nofollow noopener""><img  width=""666"" height=""500""><div class=""meta"">
<span class=""filename"">IMG_20150421_182225.jpg</span><span class=""informations"">3264x2448 2.1 MB</span><span class=""expand""></span>
</div></a></div>THE SCOEND T  ç¬¬äºŒæ¬¡æ—¶å€™ åšçš„I MADE the first one all by Acrylic ï¼Œit is Ugly and fragile ã€‚ SO  the SECOND time  ï¼ŒI USED THE  ABS ã€‚"
,,,,,,ShineFromCN,"<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/d/dadc624081139c0d473812b84b2aad92a823de43.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/dadc624081139c0d473812b84b2aad92a823de43"" title=""QQå›¾ç‰‡20160521180222.jpg"" rel=""nofollow noopener""><img  width=""690"" height=""388""><div class=""meta"">
<span class=""filename"">QQå›¾ç‰‡20160521180222.jpg</span><span class=""informations"">960x540 48.5 KB</span><span class=""expand""></span>
</div></a></div>MY FRIEND made one ï¼Œis  it beautiful ï¼Ÿ"
,,,,,,ShineFromCN,"I continued to spend two years to do OPENROVã€‚<br>
All my spare timePCB ï¼Œimu all  do from China.  If i made only one ï¼Œit is really expensive.i  have to make  ten . so If i sell , How should I price ã€‚ OF COURSE  ,Most of the accessories are  cheaper than the OPENROVl website ã€‚"
,,,,,,ShineFromCN,"<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/1/18535e6187400f5a7bc134c1e36ed1f6ef7f6c07.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/18535e6187400f5a7bc134c1e36ed1f6ef7f6c07"" title=""IMG_20141215_172131.jpg"" rel=""nofollow noopener""><img  width=""690"" height=""387""><div class=""meta"">
<span class=""filename"">IMG_20141215_172131.jpg</span><span class=""informations"">4160x2336 3.33 MB</span><span class=""expand""></span>
</div></a></div>This is my first time to do the OPENROV .<br>
made twoï¼Œfinish one"
,,,,,,ShineFromCN,"<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/8/81883d689e9dc099698f20318614034d9f746150.jpg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/81883d689e9dc099698f20318614034d9f746150"" title=""IMG_20150609_154943.jpg"" rel=""nofollow noopener""><img  width=""666"" height=""500""><div class=""meta"">
<span class=""filename"">IMG_20150609_154943.jpg</span><span class=""informations"">3264x2448 3.04 MB</span><span class=""expand""></span>
</div></a></div>last year,i made  2.6 Controller Board . Now ,2.8"
,,,,,,ShineFromCN,"<img  width=""400"" height=""225"">åŽ»å¹´å¤å¤©æ°´åº“è¯•éªŒ"
,,,,,,victoirechan,"very good,study from you."
,,,,,,Trident- display layout - Trident - OpenROV Forums,
,,,,,,,
,,,,,,frehak,"Trident - display layout, Want photos that show what I can expect to see of instument layout / Info etc. (Laptop / Tablets)"
,,,,,,Brian_Grau,We have not released any photos of the interface at this time. Stay tuned for Kickstart updates and Blog posts in the future with pictures and more information.
Can Openrov carry Kinect into water?,https://forum.openrov.com/t/can-openrov-carry-kinect-into-water/3653,OpenROV Product Support,2.6k,Nov '16,2,Can Openrov carry Kinect into water? - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,2375091759,"Our team decide to use Kinect and Openrov for 3D reconstruction, but WE Do not sure that whether it is able to carry this heavy payload underwater. Please give me some advice. Thank u a lot!"
,,,,,,charlesdc,"Oh, it should be capable of carrying the sensor, provided you can find a way to either fit it in the tube or waterproof it and get the cable safely to the processor. However, youâ€™ll probably find that the IR sensor that the Kinect uses for depth wonâ€™t actually work underwater, since that frequency of light is quickly absorbed. See this picture:<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/2/20d4a46be127529bb5234e515b5b408d1cd74b30.png"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/20d4a46be127529bb5234e515b5b408d1cd74b30"" title=""Absorption_spectrum_of_liquid_water.png"" rel=""nofollow noopener""><img  width=""690"" height=""451""><div class=""meta"">
<span class=""filename"">Absorption_spectrum_of_liquid_water.png</span><span class=""informations"">1584x1036 85 KB</span><span class=""expand""></span>
</div></a></div>As you can see, there is only a small band of light that penetrates much at all, and that happens to be in the purple-blue-green area of the visible spectrum, depending on what type of water body youâ€™re in. Infrared light is severely attenuated, so  the depth camera on the Kinect which is in the Near IR range wonâ€™t work very well, if at all, underwater.However! I read around a little bit and found two things that might challenge my claim. There is a paper which purports to have used a Kinect to scan surfaces under the surface of the water from above water, though I donâ€™t have access to it to read any more than its summary: <a href=""http://dl.acm.org/citation.cfm?id=2669042"" rel=""nofollow noopener"">http://dl.acm.org/citation.cfm?id=2669042</a>There is also some talk in the OpenKinect google group that mentions the possibility of changing the Kinectâ€™s laser and IR filter to -possibly- make it work underwater, though itâ€™s probably no easy task and you still probably wonâ€™t get very good results: <a href=""https://groups.google.com/forum/#!topic/openkinect/MyH9NPwFHOA"" rel=""nofollow noopener"">https://groups.google.com/forum/#!topic/openkinect/MyH9NPwFHOA</a>My suggestion is to check out using either a sonar sensor or stereocam setup to create depth maps for 3D mapping underwater. You can also use a single camera and photogrammetry techniques to achieve this as well. Check out this thread by <a class=""mention"" href=""/u/scott_w"">@Scott_W</a>:Surprisingly not, but better quality images will give better results, but if you limit the shots to what visibility is available it will still work basically as well as with good visibility (but higher off the wrecks with less shots) I have had results in water were I couldnâ€™t see my fins (they werenâ€™t fantastic but they worked) (in some ways it gave me a better feel for the site than what I saw with my own eyes)  The Colonist SfM was taken with about 3-4m visibility    <a href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/4582/2cf7c083e46fc6e8.jpg"" title=""Mosaic_os_the_shipwreck_site_of_the_Colonist_1861-1890.jpg"" rel=""nofollow noopener"">[image]</a> Whilst this sâ€¦"
,,,,,,rancidbry,Any updates on using the Kinect for underwater mapping?
HELPT+! current OpenROV kickstarter live stream:,https://forum.openrov.com/t/helpt-current-openrov-kickstarter-live-stream/4949,OpenROV Product Support,586,Nov '16,2,HELPT+! current OpenROV kickstarter live stream: - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,maierj,"Thereâ€™s supposed to a trident live feed AMA here:<br>
<a href=""https://live.kickstarter.com/openrov/live-stream/openrov-trident-ama-ask-me-anything#"" rel=""nofollow noopener"">https://live.kickstarter.com/openrov/live-stream/openrov-trident-ama-ask-me-anything#</a><em>=</em>Iâ€™ve lost the video stream twice.  Can someone who still has it live tweet the announcement so I know what is happening?"
,,,,,,Brian_Grau,"You can watch the replay of the entire AMA at this <a href=""https://live.kickstarter.com/openrov/live-stream/openrov-trident-ama-ask-me-anything"">link</a>."
,,,,,,maierj,"Thanks.  I finally got reconnected, but that link will be useful for anybody who missed it."
V2.7 endcaps simular to v.2.6?,https://forum.openrov.com/t/v2-7-endcaps-simular-to-v-2-6/4916,OpenROV 2.5 - 2.8,438,Oct '16,0,V2.7 endcaps simular to v.2.6? - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Tom_Vidar_Salangli,"I wonder if I can use the replacement caps for 2.7 on my 2.6?<br>
And alsoâ€¦ are there a better quality/flexibility/robustness on the new colored cable harness than the white one that came with my 2.6?"
Xbox usb controller problem help me in french please?,https://forum.openrov.com/t/xbox-usb-controller-problem-help-me-in-french-please/3383,OpenROV 2.5 - 2.8,769,Oct '16,0,Xbox usb controller problem help me in french please? - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,infrarougethermograp,"Hi<br>
i need help to connect my open rov With a Xbox usb controller via xp<br>
I cant not drive my rov With the joystick ?<br>
I speak french and i need help in french please!<br>
Thank You.<br>
Mart"
Troubleshooting No Camera Issue,https://forum.openrov.com/t/troubleshooting-no-camera-issue/3117,OpenROV 2.5 - 2.8,655,Oct '16,0,Troubleshooting No Camera Issue - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,quantumquark,"My camera works when I bypass tether.  With tether everything works except camera.   Any ideas?  FYI with tether the V on the db25 is 4.35V, and 9.5 ohms.  Topside I have an Apple iPad power supply with support for 2A."
Trident Warranty,https://forum.openrov.com/t/trident-warranty/4917,Trident,738,Oct '16,1,Trident Warranty - Trident - OpenROV Forums,
,,,,,,,
,,,,,,frehak,Which warranty conditions applys to Trident?
,,,,,,Brian_Grau,"You can find the answer to your question in this forum post answered directly by Eric (one of the co-founders of OpenROV).<br>
<aside class=""quote"" data-post=""1"" data-topic=""4835"">
  <div class=""title"">
    <div class=""quote-controls""></div>
    <img alt="""" width=""20"" height=""20""  class=""avatar"">
    <a href=""https://forum.openrov.com/t/solved-questions-about-trident-before-pre-ordering/4835?source_topic_id=4917"" rel=""nofollow noopener"">[SOLVED] Questions about Trident before pre-ordering</a> <a class=""badge-wrapper  bullet"" href=""/c/help-and-support/Trident""><span class=""badge-category-parent-bg"" style=""background-color: #F1592A;""></span><span class=""badge-category-bg"" style=""background-color: #AB9364;""></span><span class=""badge-category clear-badge"" title=""For questions about OpenROV Trident."">Trident</span></a>
  </div>
  <blockquote>
    Hi guys! 
First of all, sorry if this is under the wrong category, but I couldn't find one that is related to the Trident product. 
I think you guys are doing an amazing work with the Trident, and I'm about to pre-order it (the one with a hard case and 100m tether) .  
I live in the middle of the Baltic Sea (The Aaland islands, <a href=""https://en.wikipedia.org/wiki/%C3%85land_Islands"" rel=""nofollow noopener"">https://en.wikipedia.org/wiki/%C3%85land_Islands</a>) where there are plenty of waters (both sea and fresh water lakes) to explore, and also many ship wrecks :slight_smileâ€¦
  </blockquote>
</aside>
"
Leakage wiring harness,https://forum.openrov.com/t/leakage-wiring-harness/4919,OpenROV 2.5 - 2.8,692,Oct '16,2,Leakage wiring harness - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Tom_Vidar_Salangli,"Hi folksâ€¦<br>
I want to share with you some possible leakage issues you can run intoâ€¦<br>
I live and dive my ROV in cold sea waterâ€¦ 3-11 degree CI have now found my problem(s) to my leakagesâ€¦the cause seems to be:OR The plastic cover of the wires in pic.1 were damage in the first place letting the water enter the battery tube AND the E-tube at he same time. Then the rush in current due to salt water in the battery tube increased the pressure in the tube pushing the faulty glue out and letting more water in the battery tube.In my opinion there is two issues here:It shouldnâ€™t be a problem taking the E-tube out of the ROV with out the risk of damaging the wiring harness due to slite bending of the wires.<br>
How about to design it as a whole cable with penetrators instead as other ROVâ€™s have?"
,,,,,,TCIII,"Hi Tom,<br>
Sorry to hear about your sealing issues with your wire harness. Operation in very cold water will cause the wire and the wire insulation to stiffen and make epoxy start to become brittle.  I agree that the 2.6 configuration that you have does have some weaknesses.<br>
The OpenROV 2.8 wire harness and End Cap routing is about as good a sealing method that you can get if done properly. Being able to anchor the DB-25 connector to the entrance of the wire harness trough (I used CA Kicker around the flange of the DB-25 connector to ensure that the connector flange would bond quickly with the  CA spread around the periphery of the wire harness End Cap entrance) and then forcing the 2 Ton epoxy into the trough virtually guarantees an even distribution of epoxy around each individual wire and the elimination of all air pockets in the trough. Also, I found that routing the wires side by side in the trough instead of just a jumbled wire bundle helped to ensure that the epoxy coated all of the wires completely and forced the air out of the trough.<br>
I have built several 2.8 End Cap assemblies and have been able to pull a 560 mm Hg vacuum on the WTC for over two hours even without the ends of the wires in the wire harness being sealed. I have found that attention to detail in the application of the 2 Ton epoxy to the wire harness trough in the End Cap is very important for a good waterproof seal.<br>
Regards,<br>
TCIII AVD"
,,,,,,Tom_Vidar_Salangli,"Thanks for respondâ€¦<br>
Yes, I agree that the 2.8 is a better wayâ€¦ now, since I have this 2.6 I can not use 2.8 end caps.<br>
I have sent OpenROV an email wanting to buy new end cap and harness. This time the new colored version.<br>
I guess the damage to the insulation may be caused by overheating in the first place due to the expected rush of current from the leaked battery tube. And then the ball started to rollâ€¦"
Changing 25M to 100M tether back and forth,https://forum.openrov.com/t/changing-25m-to-100m-tether-back-and-forth/4856,Trident,1.1k,Oct '16,7,Changing 25M to 100M tether back and forth - Trident - OpenROV Forums,
,,,,,,,
,,,,,,eibsen,"I have pre-ordered the Trident with the 100M tether option since I am planning some expeditions down to 80M next summer. The question is how easy is it to change the tether on the fly? (or does one need to change it in a controlled environment?)Best,<br>
Egill Ibsen<br>
Iceland"
,,,,,,badevguru,I believe thhe plan is that the tether will be swappable in the field in just a couple minutes.
,,,,,,eibsen,That is great news. Looking forward to receive the Trident.Thank you for the reply.
,,,,,,Zack,"Would you change the tether depending on which depth you were operating? I was thinking of keeping one of each as well to reduce weight and make management easier but then again you might just spool it in and out as needed.Also: interested to hear what youâ€™re thinking about thatâ€™s at 80m, anything cool?"
,,,,,,eibsen,Yes. The 100m tether would only be used occationally. I might even buy another and cut it in various extension lenths for different types of expetitions.Our 80m expetition is actually an educated guess. The max depth in that area is 120m but we will be searching for an 16th century ship in that particular expedition. If the Trident arrives in time for next summer and all goes as planned I will write about the project in Open Explorer. I can not reveal more at this time.
,,,,,,Aidan_Karley,"Using one tether of 100m, but mostly using it for 20-30m deployments may have wear implications.<br>
I see a lot of crane work. hundreds of metres of cable are spooled onto the crane drum, but most of the wear is on the other end of the cable, so every few hundred lifts (actually tonnes-lifted integrated against km of cable movement), the loose end of the cable is chopped, re-terminated into the travelling blocks, and more spooled off the storage drum as the measurement system is re-zeroed. If you were doing a lot of short deployments, youâ€™d probably want to keep track of this level of usage to keep your preventative maintenance up to scratch."
,,,,,,Zack,"Interestingâ€¦The other day I was looking at one of these spools and thought to myself that this would be the best thing for the 100m. You could play it out and back in easily. I never stopped to think that it might wear it out quicklyâ€¦good thing the new NBT isnâ€™t as expensive as some of the cabling out there.<img  width=""400"" height=""400"">"
,,,,,,eibsen,I am planning to use the WiFi buoy as much as possible and therefore the â€œneedâ€ to use the 100m tether only occasionally. I will wait for the Trident before I plan any further.
What are the alternatives for home plug adapters,https://forum.openrov.com/t/what-are-the-alternatives-for-home-plug-adapters/4874,OpenROV 2.5 - 2.8,918,Oct '16,3,What are the alternatives for home plug adapters - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,nouf90.a,why are we using home plug adapter to establish the communication system? are there any alternatives?regards
,,,,,,TCIII,"<a class=""mention"" href=""/u/nouf90.a"">@nouf90.a</a>,<br>
Here are several reasons why they are using the components from the HomePlug adapter:Relatively inexpensive for the required performanceAt least 80 Mbps Ethernet over a twisted pair300 m+ tether length capability (published capability of 2000 m)Indicator LEDs for power, link, and dataWhen you can find a bidirectional twisted pair wire communication package that has the same or better performance for less money I am sure OpenROV would be glad to hear about it. Though you can buy the individual chips from <a href=""https://www.bluerobotics.com/store/electronics/lx200v20-module-r1/"" rel=""nofollow noopener"">here</a>, but then you would still have to design and manufacture a circuit board to hold the chip.Regards,<br>
TCIII AVD"
,,,,,,Gottfried_Zojer,"TCIIITotally agree with your assessment and here is also a nice thread about the history with OpenROV/Homeplug<br>
<aside class=""quote"" data-post=""1"" data-topic=""305"">
  <div class=""title"">
    <div class=""quote-controls""></div>
    <img alt="""" width=""20"" height=""20""  class=""avatar"">
    <a href=""https://forum.openrov.com/t/teardown-of-a-homeplug-adapter/305?source_topic_id=4874"" rel=""nofollow noopener"">Teardown of a HomePlug Adapter</a> <a class=""badge-wrapper  bullet"" href=""/c/underwater-robots/hardware""><span class=""badge-category-parent-bg"" style=""background-color: #AB9364;""></span><span class=""badge-category-bg"" style=""background-color: #AB9364;""></span><span class=""badge-category clear-badge"">Hardware</span></a>
  </div>
  <blockquote>
    So numerous people within the OpenROV project have mentioned to me that some flavor of Ethernet-over-Powerline (say, HomePlug AV or IEEE 1901) device represents the ultimate way to send data across the tether. They are fast (200 Mbit/sec for HomePlug AV and 500 Mbit/sec for IEEE1901), don't require an arbitrary cable impedance, and allow power to be sent over the tether simultaneously.  Most importantly, they are inexpensive due to mass production- a pair of HomePlug adapters can be purchased foâ€¦
  </blockquote>
</aside>
But still was anyone testing this with a packet-sniffer like Wire-shark  for both IEEE 1901 / h.264 ?Regards Gottfried"
,,,,,,nouf90.a,"this was helpful , thank you !"
When is the anticipated delivery date of the TRIDENT?,https://forum.openrov.com/t/when-is-the-anticipated-delivery-date-of-the-trident/4760,Trident,1.1k,Oct '16,2,When is the anticipated delivery date of the TRIDENT? - Trident - OpenROV Forums,
,,,,,,,
,,,,,,grjfield,When is the anticipated delivery date of the TRIDENT?
,,,,,,TCIII,"<a class=""mention"" href=""/u/grjfield"">@grjfield</a>,<br>
I believe that Kickstarter orders should start delivery in November 2016 while the pre-orders are planned to ship in the beginning of 2017.<br>
Regards,<br>
TCIII AVD"
,,,,,,Eric_Stackpole,"Hey guys!We slipped the delivery date a bit in order to make some changes that were suggested durring design review. You can see our post about that (made last month) <a href=""http://blog.openrov.com/going-to-fab-trident-kickstarter-update-15/"">here</a>. The new expected shipping date for the first Kickstarter backers is in Q1 of 2017, and we plan to start shipping the pre-orders sometime after that. Weâ€™ll have a better idea of the specifics for each order after weâ€™ve started production.Hope that helps answer your question!Eric"
[SOLVED] Light cubes not working,https://forum.openrov.com/t/solved-light-cubes-not-working/4893,Add-ons / Accessories,872,Oct '16,6,[SOLVED] Light cubes not working - Add-ons / Accessories - OpenROV Forums,
,,,,,,,
,,,,,,neo_barnsy,"Hey guys,I just got the external light cubes and wired them up, but I canâ€™t manage to get them working. Wires were soldered on exactly like the image provided by Brian (both black wires wired to the black/purple PWM wire, both red to the red/purple wire). I have the latest 30.0.3 software, and I can hit alt + i to get the lights on full power (as indicated on the dashboard), but the lights refuse to show any signs of life. Do you guys have any advice?Itâ€™s the v2.8 board, so (according to the guide) there is no soldering or wire connection that needs to be done on the board itself, is this correct?"
,,,,,,TCIII,"<a class=""mention"" href=""/u/neo_barnsy"">@neo_barnsy</a>,<br>
I took a look at the OpenROV 2.8 Controller Board PWM &amp; Environmental Sensors schematic for the PWM3 Connections to Wire Harness for External LEDs and you might want to make sure that there are solder jumpers at the following locations: R32, R73, and R74. Unfortunately you might have to remove the BBB to be able to see the area of the board where those jumpers are located.<br>
If those solder jumpers are in place, then it might mean that the FET switch that is used to modulate the LEDs is not receiving a drive signal from the Arduino 2560 or heaven forbid the LED Cubes got wired up backwards during their manufacture.<br>
Also, did you mean software version 30.0.3 and not 3.0.3?<br>
Regards,<br>
TCIII AVD"
,,,,,,neo_barnsy,"I had a look, and all those jumpers have bridges on them. I used a volt meter, and thereâ€™s definitely 9V going through those wires when Iâ€™ve got the external lights switched on. Iâ€™ve wired up the lights individually to try and see if one of them was faulty, but neither are working.Only explanation I can think of is that the light cubes are faulty or were wired backwards.Edit:<br>
Solved it! Didnâ€™t think when I looked at the volt meter, it was showing negative voltage!The purple PWM wires were backwards from the factoryâ€¦ Crossed the wires and VOILA! LIGHT!"
,,,,,,Brian_Grau,"I am glad to hear that you were able to find and fix the issue. We apologize for the mistake in the harness. Just to make sure I have this correct for our internal noting and quality control purposes. When you are looking at the wiring harness pins 20 and 21 had the wire colors swapped?<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/4/4d6dfabf67a99f3ed43e903622d2016274cdaa93.png"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/4d6dfabf67a99f3ed43e903622d2016274cdaa93"" title=""DB-25 v2.8.png""><img  width=""690"" height=""446""><div class=""meta"">
<span class=""filename"">DB-25 v2.8.png</span><span class=""informations"">1618x1048 293 KB</span><span class=""expand""></span>
</div></a></div>"
,,,,,,neo_barnsy,"Yes, thatâ€™s correct!"
,,,,,,Brian_Grau,"Thank you for the information. This was a defect in the wiring harness from the manufacturer. We strive to maintain the highest quality, but every now and then a mistake does slip through. We apologize for the hassle this created and are glad you were able to find and solve the problem. If there is anything else we can help you with, please let us know."
,,,,,,TCIII,"Hi Brian,<br>
Thanks for the OpenROV DB-25 Cable Assembly Schematic, much appreciated.<br>
Regards,<br>
TCIII AVD"
Alternate camera: latency fluctuates dramatically,https://forum.openrov.com/t/alternate-camera-latency-fluctuates-dramatically/4867,Add-ons / Accessories,857,Oct '16,3,Alternate camera: latency fluctuates dramatically - Add-ons / Accessories - OpenROV Forums,
,,,,,,,
