Title,Url,Category,Views,Activity,Replies
The Rov Needs More Stuff You Can Buy For It Like Accesorys,https://forum.openrov.com/t/the-rov-needs-more-stuff-you-can-buy-for-it-like-accesorys/1185,Open Talk,1.3k,Sep '14,8
Go-Pro lenses,https://forum.openrov.com/t/go-pro-lenses/1212,Open Talk,389,Sep '14,0
How to buy the kit in China？,https://forum.openrov.com/t/how-to-buy-the-kit-in-china/1199,Open Talk,425,Sep '14,3
Are they enough?,https://forum.openrov.com/t/are-they-enough/1207,Open Talk,552,Sep '14,6
Battery Housing Mistake,https://forum.openrov.com/t/battery-housing-mistake/1210,Open Talk,319,Sep '14,0
New OpenROVer,https://forum.openrov.com/t/new-openrover/1204,Open Talk,253,Sep '14,2
Open Water Test - Sharing results,https://forum.openrov.com/t/open-water-test-sharing-results/1198,Open Talk,801,Sep '14,1
LiFePO4 alternative cells,https://forum.openrov.com/t/lifepo4-alternative-cells/1195,Open Talk,1.0k,Sep '14,6
Problems finding batteries,https://forum.openrov.com/t/problems-finding-batteries/1192,Open Talk,356,Sep '14,4
ROV shutting down/crashing mid-dive: 2.5 with beta software,https://forum.openrov.com/t/rov-shutting-down-crashing-mid-dive-2-5-with-beta-software/964,Electronics,633,Sep '14,7
OpenROV with beaglebone White+cape need help,https://forum.openrov.com/t/openrov-with-beaglebone-white-cape-need-help/1181,Open Talk,242,Sep '14,4
Getting Started with the Software,https://forum.openrov.com/t/getting-started-with-the-software/1190,Software,505,Sep '14,3
Vertical Thruster Friction Fix,https://forum.openrov.com/t/vertical-thruster-friction-fix/922,Open Talk,734,Sep '14,3
Who’s headed to New York?,https://forum.openrov.com/t/whos-headed-to-new-york/1174,Open Talk,368,Sep '14,9
Scan under water?,https://forum.openrov.com/t/scan-under-water/1186,Open Talk,403,Sep '14,2
How to remove Protection circuit from Trustfire batteries,https://forum.openrov.com/t/how-to-remove-protection-circuit-from-trustfire-batteries/1138,Open Talk,703,Sep '14,5
Controller board v2.6 issue and leds,https://forum.openrov.com/t/controller-board-v2-6-issue-and-leds/1156,Electronics,778,Sep '14,8
Weld-on like glue in europe,https://forum.openrov.com/t/weld-on-like-glue-in-europe/200,Open Talk,1.7k,Sep '14,6
Payload: Food Canon,https://forum.openrov.com/t/payload-food-canon/1166,Project and Build Discussion,1.3k,Sep '14,5
What length are the battery tubes supposed to be?,https://forum.openrov.com/t/what-length-are-the-battery-tubes-supposed-to-be/393,Open Talk,339,Aug '14,2
TIlt angle for ROV camera assembly,https://forum.openrov.com/t/tilt-angle-for-rov-camera-assembly/1179,Open Talk,679,Aug '14,2
"What are the size ,weight and resolution of the camera of the openrov kit 2.6",https://forum.openrov.com/t/what-are-the-size-weight-and-resolution-of-the-camera-of-the-openrov-kit-2-6/1178,Open Talk,243,Aug '14,1
Battery Polarity Check,https://forum.openrov.com/t/battery-polarity-check/1148,Open Talk,347,Aug '14,1
About tariff,https://forum.openrov.com/t/about-tariff/1176,Open Talk,273,Aug '14,1
Where is the openrov factory?,https://forum.openrov.com/t/where-is-the-openrov-factory/1175,Open Talk,265,Aug '14,2
UK based builder looking for laser cutting,https://forum.openrov.com/t/uk-based-builder-looking-for-laser-cutting/1090,Open Talk,455,Aug '14,7
Seawater vs. Brushless Motors,https://forum.openrov.com/t/seawater-vs-brushless-motors/35,Hardware,11.8k,Aug '14,23
Need to keep uploading Firmware to make OpenROV work,https://forum.openrov.com/t/need-to-keep-uploading-firmware-to-make-openrov-work/1173,Software,746,Aug '14,4
I fail to calibrate the ESC’s,https://forum.openrov.com/t/i-fail-to-calibrate-the-escs/1130,Open Talk,329,Aug '14,5
OpenROV 2.6 will not boot latest released firmware image,https://forum.openrov.com/t/openrov-2-6-will-not-boot-latest-released-firmware-image/1165,Open Talk,526,Aug '14,1
Kickstarter campaign I can really get behind,https://forum.openrov.com/t/kickstarter-campaign-i-can-really-get-behind/1170,Open Talk,253,Aug '14,1
Compact Arduino Mega on kickstarter might be good for Small ROV’s,https://forum.openrov.com/t/compact-arduino-mega-on-kickstarter-might-be-good-for-small-rovs/1159,Electronics,851,Aug '14,3
How to buy the openrov,https://forum.openrov.com/t/how-to-buy-the-openrov/1171,Open Talk,344,Aug '14,2
No video,https://forum.openrov.com/t/no-video/1168,Open Talk,729,Aug '14,4
[SOLVED] OpenROV Image build #35 of master is DOA,https://forum.openrov.com/t/solved-openrov-image-build-35-of-master-is-doa/1163,Software,379,Aug '14,4
The birth of #1087,https://forum.openrov.com/t/the-birth-of-1087/1167,Open Talk,362,Aug '14,0
Water Sampler,https://forum.openrov.com/t/water-sampler/52,Open Talk,3.8k,Aug '14,22
OpenROV Help in North Carolina,https://forum.openrov.com/t/openrov-help-in-north-carolina/1161,Open Talk,368,Aug '14,0
Image OpenROV-2.5-29.img.7z,https://forum.openrov.com/t/image-openrov-2-5-29-img-7z/1157,Open Talk,236,Aug '14,0
More V2.6 parts,https://forum.openrov.com/t/more-v2-6-parts/1004,Open Talk,390,Aug '14,4
Best power option out there?,https://forum.openrov.com/t/best-power-option-out-there/1155,Open Talk,311,Aug '14,0
Please i NEED HELP!,https://forum.openrov.com/t/please-i-need-help/1154,Software,517,Aug '14,0
Scaling laser on controller board,https://forum.openrov.com/t/scaling-laser-on-controller-board/1150,Open Talk,701,Aug '14,10
Need to verify hardware is working,https://forum.openrov.com/t/need-to-verify-hardware-is-working/1151,Software,311,Aug '14,1
Removing SuperGlue,https://forum.openrov.com/t/removing-superglue/1143,Open Talk,403,Aug '14,2
How can I use the DC motors with the Arduino controller board,https://forum.openrov.com/t/how-can-i-use-the-dc-motors-with-the-arduino-controller-board/1152,Software,413,Aug '14,2
Leaking electronic housing,https://forum.openrov.com/t/leaking-electronic-housing/1128,Open Talk,1.1k,Aug '14,12
Power issue with home plug,https://forum.openrov.com/t/power-issue-with-home-plug/1145,Open Talk,310,Aug '14,6
Thrusters,https://forum.openrov.com/t/thrusters/1134,Open Talk,321,Aug '14,2
Arduino Uno or Mega?,https://forum.openrov.com/t/arduino-uno-or-mega/1144,Open Talk,645,Aug '14,2
mpu_init failed,https://forum.openrov.com/t/mpu-init-failed/1136,Open Talk,1.0k,Aug '14,11
Using openROV without the controller board,https://forum.openrov.com/t/using-openrov-without-the-controller-board/1140,Open Talk,363,Aug '14,3
Running the ROV from an external source,https://forum.openrov.com/t/running-the-rov-from-an-external-source/1147,Open Talk,251,Aug '14,0
Has anyone run the ROV on a netbook?,https://forum.openrov.com/t/has-anyone-run-the-rov-on-a-netbook/1146,Open Talk,212,Aug '14,0
[Duplicate] Current image’s ttyO1 not working on BeagleBone white?,https://forum.openrov.com/t/duplicate-current-images-ttyo1-not-working-on-beaglebone-white/1141,Software,238,Aug '14,3
Loss of motor control and cockpit resets,https://forum.openrov.com/t/loss-of-motor-control-and-cockpit-resets/1131,Open Talk,638,Aug '14,13
Opennautilus AN AUTONOMOUS UNDERWATER SURVEILLANCE VEHICLE (AUV) BASED ON A LIVING FOSSIL NAUTILUS,https://forum.openrov.com/t/opennautilus-an-autonomous-underwater-surveillance-vehicle-auv-based-on-a-living-fossil-nautilus/1139,Open Talk,148,Aug '14,0
Board won’t boot up (only LED1 is green),https://forum.openrov.com/t/board-wont-boot-up-only-led1-is-green/1137,Electronics,513,Aug '14,2
Github question?,https://forum.openrov.com/t/github-question/1135,Software,325,Aug '14,1
Bill of Materials optimized for other countries,https://forum.openrov.com/t/bill-of-materials-optimized-for-other-countries/1132,Open Talk,400,Aug '14,4
Propeller Characterization,https://forum.openrov.com/t/propeller-characterization/1133,Open Talk,1.6k,Aug '14,3
Opennautilus AN AUTONOMOUS UNDERWATER SURVEILLANCE VEHICLE (AUV) BASED ON A LIVING FOSSIL NAUTILUS,https://forum.openrov.com/t/opennautilus-an-autonomous-underwater-surveillance-vehicle-auv-based-on-a-living-fossil-nautilus/2014,Open Talk,181,Aug '14,3
V2 Tenda Homeplug Adapter,https://forum.openrov.com/t/v2-tenda-homeplug-adapter/855,Electronics,716,Aug '14,2
Software Plan Week of August 4th - 11th,https://forum.openrov.com/t/software-plan-week-of-august-4th-11th/1129,Software,381,Aug '14,7
Trim camera?,https://forum.openrov.com/t/trim-camera/1125,Electronics,387,Aug '14,1
OpenRov error,https://forum.openrov.com/t/openrov-error/1127,Open Talk,313,Aug '14,0
Dazed and Confused,https://forum.openrov.com/t/dazed-and-confused/1079,Open Talk,849,Aug '14,19
Connection lost after first start up,https://forum.openrov.com/t/connection-lost-after-first-start-up/878,Open Talk,2.4k,Jul '14,38
CAD files can be opened by solidworks?,https://forum.openrov.com/t/cad-files-can-be-opened-by-solidworks/1123,Open Talk,298,Jul '14,0
"Flying into US with OpenROV, via DUB-LGW",https://forum.openrov.com/t/flying-into-us-with-openrov-via-dub-lgw/1043,Open Talk,191,Jul '14,3
Solidworks model of Motor,https://forum.openrov.com/t/solidworks-model-of-motor/1122,Open Talk,604,Jul '14,3
Using HD video encoded natively by webcam over tether?,https://forum.openrov.com/t/using-hd-video-encoded-natively-by-webcam-over-tether/1119,Electronics,326,Jul '14,1
Reorganizing directory structure of the image,https://forum.openrov.com/t/reorganizing-directory-structure-of-the-image/1120,Software,471,Jul '14,0
Underwater Arm/Manipulator based on the OpenHand adaptive robot hand,https://forum.openrov.com/t/underwater-arm-manipulator-based-on-the-openhand-adaptive-robot-hand/355,Open Talk,999,Jul '14,4
OpenExplorer error?,https://forum.openrov.com/t/openexplorer-error/1114,Open Talk,301,Jul '14,2
Left turn reboot issue under water,https://forum.openrov.com/t/left-turn-reboot-issue-under-water/1103,Open Talk,336,Jul '14,4
Tether,https://forum.openrov.com/t/tether/1112,Software,447,Jul '14,9
Trouble With ESC’s Upon Start Up,https://forum.openrov.com/t/trouble-with-escs-upon-start-up/1113,Electronics,474,Jul '14,2
Vertical thruster direction?,https://forum.openrov.com/t/vertical-thruster-direction/1117,Open Talk,275,Jul '14,1
I can’t connect to the ROV,https://forum.openrov.com/t/i-cant-connect-to-the-rov/1082,Open Talk,1.5k,Jul '14,23
Left and right panning,https://forum.openrov.com/t/left-and-right-panning/1087,Open Talk,506,Jul '14,4
Camera,https://forum.openrov.com/t/camera/1109,Electronics,366,Jul '14,0
Avoiding a Voltage drop Rebbot of the BB,https://forum.openrov.com/t/avoiding-a-voltage-drop-rebbot-of-the-bb/992,Software,783,Jul '14,7
Gamepad control,https://forum.openrov.com/t/gamepad-control/269,Software,5.6k,Jul '14,18
Camera,https://forum.openrov.com/t/camera/1107,Open Talk,336,Jul '14,2
“Follow Me” Mode - UAV and ROV coupling using telemetry and GPS,https://forum.openrov.com/t/follow-me-mode-uav-and-rov-coupling-using-telemetry-and-gps/1104,Software,1.0k,Jul '14,0
Wire Selection for the Tether,https://forum.openrov.com/t/wire-selection-for-the-tether/332,Hardware,4.7k,Jul '14,28
Sensors,https://forum.openrov.com/t/sensors/1100,Open Talk,398,Jul '14,2
Giving Open-ROV Pre-planned trajectory,https://forum.openrov.com/t/giving-open-rov-pre-planned-trajectory/1094,Software,330,Jul '14,2
Software Plan: Week July 7th - July 13 2014,https://forum.openrov.com/t/software-plan-week-july-7th-july-13-2014/1096,Software,323,Jul '14,1
Electronics Documentation and FAQ,https://forum.openrov.com/t/electronics-documentation-and-faq/1085,Electronics,540,Jul '14,4
InvenSense released full 9-axis on chip fusion library,https://forum.openrov.com/t/invensense-released-full-9-axis-on-chip-fusion-library/1095,Software,632,Jul '14,0
Scales on openROV cockpit,https://forum.openrov.com/t/scales-on-openrov-cockpit/1093,Open Talk,583,Jul '14,1
Charger and batteries,https://forum.openrov.com/t/charger-and-batteries/396,Open Talk,337,Jul '14,3
Laser Cutting Imperfection Leading to Water Leaking,https://forum.openrov.com/t/laser-cutting-imperfection-leading-to-water-leaking/1092,Open Talk,670,Jul '14,0
IMU installation instruction help? SSH?,https://forum.openrov.com/t/imu-installation-instruction-help-ssh/1081,Open Talk,438,Jul '14,2
Tp-link tl-mr3040,https://forum.openrov.com/t/tp-link-tl-mr3040/1089,Open Talk,361,Jul '14,1
Changing design,https://forum.openrov.com/t/changing-design/951,Open Talk,857,Jul '14,17
OpenROV v2.6 Kit containsOpenROV IMU/Depth Module?,https://forum.openrov.com/t/openrov-v2-6-kit-containsopenrov-imu-depth-module/1083,Electronics,267,Jul '14,2
Problem calibrating the ESC,https://forum.openrov.com/t/problem-calibrating-the-esc/1080,Open Talk,351,Jul '14,4
Acrylic glue is mistaken as a bomb at airport security!,https://forum.openrov.com/t/acrylic-glue-is-mistaken-as-a-bomb-at-airport-security/1035,Open Talk,471,Jul '14,3
Camera Tilt Problems,https://forum.openrov.com/t/camera-tilt-problems/1073,Open Talk,418,Jul '14,1
Not Included,https://forum.openrov.com/t/not-included/1038,Open Talk,470,Jul '14,6
Motor Problems,https://forum.openrov.com/t/motor-problems/1074,Open Talk,360,Jul '14,3
Work in progress - alternate battery holders,https://forum.openrov.com/t/work-in-progress-alternate-battery-holders/1072,Open Talk,467,Jul '14,2
How to implement a PID controller on OpenRov,https://forum.openrov.com/t/how-to-implement-a-pid-controller-on-openrov/1069,Software,1.2k,Jul '14,3
Software Plan: Week June 31st - July 6th 2014,https://forum.openrov.com/t/software-plan-week-june-31st-july-6th-2014/1076,Software,339,Jul '14,2
Coming next: Heads Up Menu to control features via gamepad,https://forum.openrov.com/t/coming-next-heads-up-menu-to-control-features-via-gamepad/1077,Software,320,Jul '14,0
Software Problems,https://forum.openrov.com/t/software-problems/1065,Open Talk,392,Jul '14,8
2.5 Release image refresh released,https://forum.openrov.com/t/2-5-release-image-refresh-released/1070,Software,260,Jun '14,0
Servo range of motion,https://forum.openrov.com/t/servo-range-of-motion/1066,Open Talk,350,Jun '14,1
Permanent Magnet,https://forum.openrov.com/t/permanent-magnet/1063,Open Talk,490,Jun '14,1
Epoxy Type for Laser Mounting,https://forum.openrov.com/t/epoxy-type-for-laser-mounting/1064,Open Talk,316,Jun '14,2
Software Plan: Week June 13th - June 30 2014,https://forum.openrov.com/t/software-plan-week-june-13th-june-30-2014/1061,Software,468,Jun '14,1
Xbox 360 controller issue,https://forum.openrov.com/t/xbox-360-controller-issue/487,Open Talk,513,Jun '14,3
In need of parts for V2.3 Looking to buy spare parts,https://forum.openrov.com/t/in-need-of-parts-for-v2-3-looking-to-buy-spare-parts/1059,Open Talk,334,Jun '14,1
Reverse power drops to zero with commands over 70% level on port and starboard motors,https://forum.openrov.com/t/reverse-power-drops-to-zero-with-commands-over-70-level-on-port-and-starboard-motors/1050,Open Talk,310,Jun '14,3
Problem with xbox 360 wireless controller,https://forum.openrov.com/t/problem-with-xbox-360-wireless-controller/1045,Open Talk,484,Jun '14,8
Google Glasses & Eyewear,https://forum.openrov.com/t/google-glasses-eyewear/1026,Software,1.4k,Jun '14,9
Software Plan: Week June 16th - June 22 2014,https://forum.openrov.com/t/software-plan-week-june-16th-june-22-2014/1056,Software,368,Jun '14,0
Communication to rov from computer,https://forum.openrov.com/t/communication-to-rov-from-computer/1047,Electronics,958,Jun '14,15
IMU Location?,https://forum.openrov.com/t/imu-location/1041,Open Talk,632,Jun '14,6
Brush Motors C-Clip,https://forum.openrov.com/t/brush-motors-c-clip/1054,Open Talk,417,Jun '14,2
Dynamic positioning,https://forum.openrov.com/t/dynamic-positioning/1053,Open Talk,580,Jun '14,1
Convert kicad to eagle?,https://forum.openrov.com/t/convert-kicad-to-eagle/1052,Open Talk,1.3k,Jun '14,0
Tracking Laser Part No,https://forum.openrov.com/t/tracking-laser-part-no/1044,Open Talk,353,Jun '14,3
Adjusting YAW values,https://forum.openrov.com/t/adjusting-yaw-values/1049,Software,628,Jun '14,2
ESCs on the controller board,https://forum.openrov.com/t/escs-on-the-controller-board/1037,Open Talk,322,Jun '14,2
Why are the motors not sealed?,https://forum.openrov.com/t/why-are-the-motors-not-sealed/1039,Open Talk,392,Jun '14,3
IMU not working,https://forum.openrov.com/t/imu-not-working/1046,Software,410,Jun '14,0
Clearance between thruster and nearest componenet,https://forum.openrov.com/t/clearance-between-thruster-and-nearest-componenet/1042,Open Talk,364,Jun '14,1
"Having problems with the vertical motor, camera and connectivity",https://forum.openrov.com/t/having-problems-with-the-vertical-motor-camera-and-connectivity/748,Software,1.3k,Jun '14,11
Charging batteries,https://forum.openrov.com/t/charging-batteries/1028,Open Talk,475,Jun '14,1
Freshwater Applications,https://forum.openrov.com/t/freshwater-applications/1036,Open Talk,456,Jun '14,3
Air motor control,https://forum.openrov.com/t/air-motor-control/640,Open Talk,645,Jun '14,4
Why do the endcaps need to be mirror images? Assembly guide 2.6,https://forum.openrov.com/t/why-do-the-endcaps-need-to-be-mirror-images-assembly-guide-2-6/1034,Open Talk,281,Jun '14,2
Motor Wire,https://forum.openrov.com/t/motor-wire/1033,Open Talk,450,Jun '14,2
Success at last,https://forum.openrov.com/t/success-at-last/1022,Open Talk,448,Jun '14,10
Cockpit software 2.5rc2,https://forum.openrov.com/t/cockpit-software-2-5rc2/1018,Software,829,Jun '14,6
Solder Iron,https://forum.openrov.com/t/solder-iron/996,Open Talk,332,Jun '14,4
Connection problem,https://forum.openrov.com/t/connection-problem/1006,Open Talk,462,Jun '14,4
Using IMU/Depth Sensor with Alamode,https://forum.openrov.com/t/using-imu-depth-sensor-with-alamode/1024,Software,994,Jun '14,2
How to share your internet connection with your ROV on OSX/Mac,https://forum.openrov.com/t/how-to-share-your-internet-connection-with-your-rov-on-osx-mac/1032,Software,614,Jun '14,0
[solved] Controller Board 2.5,https://forum.openrov.com/t/solved-controller-board-2-5/629,Electronics,530,Jun '14,5
OpenROV Interest Group in VA?,https://forum.openrov.com/t/openrov-interest-group-in-va/1031,Open Talk,412,Jun '14,0
Acoustic Trigger and ballast jettison?,https://forum.openrov.com/t/acoustic-trigger-and-ballast-jettison/833,Electronics,484,May '14,1
Electronics tube Condensation example,https://forum.openrov.com/t/electronics-tube-condensation-example/457,Hardware,1.0k,May '14,2
LED & board trouble,https://forum.openrov.com/t/led-board-trouble/1019,Open Talk,766,May '14,23
No Voltage to ECS,https://forum.openrov.com/t/no-voltage-to-ecs/1023,Electronics,451,May '14,1
Air Purge on Endcap Question,https://forum.openrov.com/t/air-purge-on-endcap-question/1008,Open Talk,354,May '14,2
[solved] ? on Changing Servo tilt,https://forum.openrov.com/t/solved-on-changing-servo-tilt/1020,Open Talk,398,May '14,3
Master Branch: Breaking out dashboard and arduino projects this week,https://forum.openrov.com/t/master-branch-breaking-out-dashboard-and-arduino-projects-this-week/1021,Software,167,May '14,0
Cockpit crashes when ESC is turned on,https://forum.openrov.com/t/cockpit-crashes-when-esc-is-turned-on/973,Open Talk,181,May '14,8
Weights & ballasting,https://forum.openrov.com/t/weights-ballasting/1010,Open Talk,1.0k,May '14,4
Software Version & query on Starboard Motor,https://forum.openrov.com/t/software-version-query-on-starboard-motor/1016,Open Talk,274,May '14,0
Tether Problem,https://forum.openrov.com/t/tether-problem/1003,Open Talk,228,May '14,10
Topside Interface 2.6 problems,https://forum.openrov.com/t/topside-interface-2-6-problems/1012,Electronics,974,May '14,2
Broadcom toaster,https://forum.openrov.com/t/broadcom-toaster/1007,Open Talk,396,May '14,1
Homeplug V2 with OpenROV V2.5B,https://forum.openrov.com/t/homeplug-v2-with-openrov-v2-5b/1011,Electronics,585,May '14,5
Tenda homeplug problem,https://forum.openrov.com/t/tenda-homeplug-problem/1009,Hardware,980,May '14,0
"Power to Homeplug, but no lights on main control board?",https://forum.openrov.com/t/power-to-homeplug-but-no-lights-on-main-control-board/1002,Open Talk,484,May '14,10
Builders in Norway,https://forum.openrov.com/t/builders-in-norway/102,Open Talk,1.7k,May '14,23
LEDs and Motors not working,https://forum.openrov.com/t/leds-and-motors-not-working/942,Electronics,884,May '14,13
Update The Cape,https://forum.openrov.com/t/update-the-cape/1005,Electronics,474,May '14,3
OpenROV controlled by radio controller?,https://forum.openrov.com/t/openrov-controlled-by-radio-controller/903,Software,1.1k,May '14,8
Vertical thruster running full speed,https://forum.openrov.com/t/vertical-thruster-running-full-speed/993,Open Talk,500,May '14,9
Battery Packs Not Registering any Voltage,https://forum.openrov.com/t/battery-packs-not-registering-any-voltage/999,Open Talk,369,May '14,2
Tiny missing acrylic part from 2.6 kit,https://forum.openrov.com/t/tiny-missing-acrylic-part-from-2-6-kit/988,Open Talk,334,May '14,3
BETA of the controller board 2.5 aware cockpit software ready,https://forum.openrov.com/t/beta-of-the-controller-board-2-5-aware-cockpit-software-ready/586,Software,1.7k,May '14,55
Can’t get software upgrade to work!,https://forum.openrov.com/t/cant-get-software-upgrade-to-work/479,Open Talk,1.2k,May '14,19
Programmer not responding error while uploading arduino firmware,https://forum.openrov.com/t/programmer-not-responding-error-while-uploading-arduino-firmware/1001,Open Talk,1.1k,May '14,0
Servo not working,https://forum.openrov.com/t/servo-not-working/1000,Open Talk,403,May '14,1
Difficulty glueing propellor onto shaft,https://forum.openrov.com/t/difficulty-glueing-propellor-onto-shaft/998,Open Talk,248,May '14,2
Removing Motor Bells,https://forum.openrov.com/t/removing-motor-bells/997,Open Talk,287,May '14,4
ESC HELP Calibrating Arduino,https://forum.openrov.com/t/esc-help-calibrating-arduino/868,Open Talk,2.9k,May '14,12
Looking for Epoxy alternative in Australia,https://forum.openrov.com/t/looking-for-epoxy-alternative-in-australia/991,Open Talk,671,May '14,1
Measuring Continuity,https://forum.openrov.com/t/measuring-continuity/994,Open Talk,221,May '14,3
Some openrov in Brazil?,https://forum.openrov.com/t/some-openrov-in-brazil/995,Open Talk,247,May '14,0
OpenCV on BBB at 30FPS,https://forum.openrov.com/t/opencv-on-bbb-at-30fps/990,Software,974,May '14,2
One engine is all time running,https://forum.openrov.com/t/one-engine-is-all-time-running/820,Open Talk,525,May '14,6
Connecting to a Mac,https://forum.openrov.com/t/connecting-to-a-mac/985,Software,703,May '14,1
Connection Troubleshooting (v2.6),https://forum.openrov.com/t/connection-troubleshooting-v2-6/980,Open Talk,605,May '14,8
Lights flicker,https://forum.openrov.com/t/lights-flicker/986,Open Talk,397,May '14,3
ESC’S programming and calibrating problems,https://forum.openrov.com/t/escs-programming-and-calibrating-problems/987,Open Talk,313,May '14,0
Computer requirements,https://forum.openrov.com/t/computer-requirements/984,Open Talk,463,May '14,3
Newbie Questions,https://forum.openrov.com/t/newbie-questions/966,Open Talk,368,May '14,5
Lost my volt/amp bottom display when I added IMU/Depth sensor,https://forum.openrov.com/t/lost-my-volt-amp-bottom-display-when-i-added-imu-depth-sensor/898,Software,742,May '14,1
DB-25 Section 12C?,https://forum.openrov.com/t/db-25-section-12c/983,Open Talk,433,May '14,5
IMU Added - Dashboard/Camera dead [solved],https://forum.openrov.com/t/imu-added-dashboard-camera-dead-solved/982,Open Talk,431,May '14,3
Trackstar ESC programming,https://forum.openrov.com/t/trackstar-esc-programming/975,Open Talk,511,May '14,1
Noob question about battery pods,https://forum.openrov.com/t/noob-question-about-battery-pods/961,Open Talk,266,May '14,5
Inflatable Silicone Robotic Manipulator,https://forum.openrov.com/t/inflatable-silicone-robotic-manipulator/827,Open Talk,3.8k,May '14,10
Color sensor,https://forum.openrov.com/t/color-sensor/962,Electronics,357,May '14,3
More pictures on OpenExplorer?,https://forum.openrov.com/t/more-pictures-on-openexplorer/978,Open Talk,270,May '14,0
Dead Beaglebone,https://forum.openrov.com/t/dead-beaglebone/960,Electronics,810,May '14,5
Dead IMU/Depth sensor?,https://forum.openrov.com/t/dead-imu-depth-sensor/969,Electronics,826,May '14,6
What is this mystery capacitor?!,https://forum.openrov.com/t/what-is-this-mystery-capacitor/972,Open Talk,270,May '14,5
Ghost In The Machine!,https://forum.openrov.com/t/ghost-in-the-machine/976,Open Talk,291,May '14,1
Lost connection,https://forum.openrov.com/t/lost-connection/974,Open Talk,303,May '14,2
"Going to peru on thurs, need some software advice",https://forum.openrov.com/t/going-to-peru-on-thurs-need-some-software-advice/911,Software,353,May '14,4
Dual 40mm counter rotating prop thruster pod,https://forum.openrov.com/t/dual-40mm-counter-rotating-prop-thruster-pod/949,Open Talk,1.1k,May '14,9
Sphere as the main electronic housing,https://forum.openrov.com/t/sphere-as-the-main-electronic-housing/970,Hardware,613,May '14,0
Interesting find in the Gulf of Mexico,https://forum.openrov.com/t/interesting-find-in-the-gulf-of-mexico/953,Open Talk,364,May '14,2
Cockpit crash,https://forum.openrov.com/t/cockpit-crash/567,Open Talk,1.0k,May '14,10
List of usable Cameras,https://forum.openrov.com/t/list-of-usable-cameras/968,Open Talk,318,May '14,0
Video freezing: ROV 2.5 with beta software,https://forum.openrov.com/t/video-freezing-rov-2-5-with-beta-software/752,Electronics,845,May '14,15
Dead Beaglebone Black,https://forum.openrov.com/t/dead-beaglebone-black/775,Open Talk,651,May '14,2
New crazy powerful dev board w/parallel compute - Nvidia Jetson TK1 Dev Board,https://forum.openrov.com/t/new-crazy-powerful-dev-board-w-parallel-compute-nvidia-jetson-tk1-dev-board/946,Electronics,345,May '14,1
User definable I/O on Controller v2.6,https://forum.openrov.com/t/user-definable-i-o-on-controller-v2-6/959,Electronics,328,May '14,0
Acrylic Missing?,https://forum.openrov.com/t/acrylic-missing/785,Open Talk,367,May '14,7
Assembly Question End Cap Hole?,https://forum.openrov.com/t/assembly-question-end-cap-hole/697,Open Talk,440,May '14,4
MS5803-14BA pressure sensor code issues,https://forum.openrov.com/t/ms5803-14ba-pressure-sensor-code-issues/924,Software,2.5k,May '14,6
Medialink adapdter alternative for the uk?,https://forum.openrov.com/t/medialink-adapdter-alternative-for-the-uk/956,Electronics,420,May '14,3
Simplifying the electronics stack,https://forum.openrov.com/t/simplifying-the-electronics-stack/934,Open Talk,213,May '14,1
LED light array failure,https://forum.openrov.com/t/led-light-array-failure/930,Electronics,475,May '14,2
Wiring issue,https://forum.openrov.com/t/wiring-issue/926,Open Talk,322,May '14,2
BlueView,https://forum.openrov.com/t/blueview/950,Open Talk,419,May '14,3
Problem powering up 2.6 board,https://forum.openrov.com/t/problem-powering-up-2-6-board/955,Open Talk,284,May '14,2
Battery end caps,https://forum.openrov.com/t/battery-end-caps/947,Open Talk,281,May '14,1
US Bathymetry Data Site,https://forum.openrov.com/t/us-bathymetry-data-site/954,Open Talk,833,Apr '14,2
Motors don’t move,https://forum.openrov.com/t/motors-dont-move/932,Software,344,Apr '14,2
Divetech Ltd are proud to offer the first ever ROV pilot / Technician Training course which follows the IMCA ROV training recommendations This practical course exceeds the IMCA ROV Training recommenda,https://forum.openrov.com/t/divetech-ltd-are-proud-to-offer-the-first-ever-rov-pilot-technician-training-course-which-follows-the-imca-rov-training-recommendations-this-practical-course-exceeds-the-imca-rov-training-recommenda/952,Open Talk,277,Apr '14,1
Hermeticity prove of the electronics tube,https://forum.openrov.com/t/hermeticity-prove-of-the-electronics-tube/948,Hardware,825,Apr '14,1
Dual vertical thrusters?,https://forum.openrov.com/t/dual-vertical-thrusters/945,Open Talk,531,Apr '14,4
Autopilot testing:,https://forum.openrov.com/t/autopilot-testing/941,Open Talk,1.1k,Apr '14,5
Update BB after installtion with Image fails,https://forum.openrov.com/t/update-bb-after-installtion-with-image-fails/928,Software,817,Apr '14,7
Best ESC for an rov,https://forum.openrov.com/t/best-esc-for-an-rov/940,Electronics,997,Apr '14,0
Software Version in eMMC vs latest build,https://forum.openrov.com/t/software-version-in-emmc-vs-latest-build/897,Software,347,Apr '14,2
Cockpit wont load,https://forum.openrov.com/t/cockpit-wont-load/937,Software,656,Apr '14,4
"Not finished yet, but some modifications",https://forum.openrov.com/t/not-finished-yet-but-some-modifications/699,Project and Build Discussion,2.4k,Apr '14,12
Controller board problem?,https://forum.openrov.com/t/controller-board-problem/933,Electronics,380,Apr '14,1
IMU/Depth sensor instructions,https://forum.openrov.com/t/imu-depth-sensor-instructions/876,Open Talk,526,Apr '14,8
